County,2017,2018,2019,2020,2021
Alameda,77.63333333,79.64444444,80.47222222,83.07291667,81.68429752
Alpine,,,,,
Amador,82.43333333,83.14545455,85.78888889,77.85,77.02
Butte,74.55882353,79.58333333,79.675,81.93103448,82.53058824
Calaveras,87.61,83.31,88.1,87.39090909,86.08285714
Colusa,89.14,84.58181818,85.87,90.47948718,89.12894737
Contra Costa,80.57058824,80.33333333,83.72941176,84.38881988,83.33372781
Del Norte,70.8,77.30833333,76.125,74.46774194,72.89117647
El Dorado ,80.29333333,79.98666667,84.14375,82.47096774,83.43809524
Fresno ,73.61666667,74.15,74.60555556,72.86884615,75.05247148
Glenn ,73.7,76.44444444,73.86,78.5372093,75.45853659
Humboldt,81.85,80.08571429,83.69285714,88.95061728,86.3625
Imperial ,82.09285714,75.50666667,81.20625,77.93695652,77.77777778
Inyo ,40.46923077,41.82857143,39.4,55.62307692,49.29166667
Kern ,80.05555556,81.63888889,80.89444444,79.56623377,77.68815789
Kings,76.925,76.4125,76.075,70.57560976,70.33095238
Lake ,67.13076923,71.11428571,70.6,75.98644068,75.67272727
Lassen,84.61818182,85.55,80.55,83.21142857,81.140625
Los Angeles,72.53888889,74.57777778,75.24444444,80.78032787,81.72564767
Madera ,76.20666667,74.29375,74.75625,77.8375,74.3625
Marin ,80.9,79.85333333,82.78235294,80.82941176,79.4
Mariposa ,87.65714286,80.9625,92.86666667,91.75,81.35
Mendocino ,74.58125,77,76.46666667,76.32142857,80.27564103
Merced ,83.98823529,84.50555556,87.78888889,87.73333333,85.60204082
Modoc ,87.04285714,81.95,93.32857143,75.71428571,87.61176471
Mono ,29.48,29.29,36.69,34.23,54.78965517
Monterey,77.83888889,78.78333333,79.71111111,81.52777778,80.68839286
Napa ,82.575,84.27333333,83.05625,84.34375,83.03061224
Nevada ,41.36,41.93571429,45.83571429,53.52307692,61.49230769
Orange,83.45,82.57777778,84.08333333,85.76111111,87.86653061
Placer ,81.35294118,84.38235294,83.91764706,86.35294118,81.42903226
Plumas ,74.775,75.7125,80.2,77.875,77.50625
Riverside ,83.50555556,84.06666667,86.27222222,87.33888889,85.89444444
Sacramento ,73.44444444,72.86666667,75.31111111,77.45555556,72.16842105
San Benito ,85.19090909,87.29090909,80.08333333,79.14545455,82.58571429
San Bernardino ,75.54444444,77.57647059,78.28888889,75.47222222,78.96470588
San Diego ,72.76666667,74.67777778,75.76666667,76.23888889,75.95789474
San Francisco ,66.55,66.37222222,61.40555556,73.21111111,58.83888889
San Joaquin ,75.00555556,76.19444444,76.94444444,73.82777778,74.92777778
San Luis Obispo ,85.74375,87.8,88.15,86.93125,84.5625
San Mateo ,80.6,82.57222222,82.82222222,79.20555556,81.55
Santa Barbara ,80.92777778,83.03529412,81.65294118,80.40588235,84.45882353
Santa Clara,73.81111111,76.55555556,77.07777778,72.85555556,78.62222222
Santa Cruz ,77.4,75.89375,80.3375,78.9,83.25882353
Shasta ,82.54,82.94375,83.44705882,84.64285714,83.93125
Sierra ,100,100,100,96.56,100
Siskiyou ,83.50769231,73.2,80.10909091,81.70909091,78.98181818
Solano ,75.9,74.34444444,78.56111111,80.07222222,80.61666667
Sonoma ,73.56666667,76.26666667,74.05555556,76.8,78.20555556
Stanislaus ,79.36111111,79.11666667,78.96111111,79.66666667,81.32222222
Sutter ,72.01176471,77.65,74.84117647,77.1,79.225
Tehama ,79.775,80.65,77.15714286,83.75714286,80.15
Trinity ,65.95555556,69.12727273,74.31111111,68.47,63.30909091
Tulare ,81.25,83.17647059,82.66666667,83.65,81.52777778
Tuolumne ,78.5,77.12,81.12,80.42727273,78.16
Ventura,78.9,82.56470588,82.23529412,76.05555556,75.90555556
Yolo ,82.95625,82.2,84.99411765,83.10625,87.07647059
Yuba,71.08666667,68.74,73.37857143,76.05714286,70.45714286