County,2017,2018,2019,2020,2021,2022
Alameda,7.06,11.46,14.797,18.79,18.258,
Alpine,0,0,97.278,89.445,86.73,
Amador,8.775,17.773,32.82,17.44,27.203,
Butte,18.935,25.515,23.188,31.253,53.328,
Calaveras,10.512,15.348,26.348,19.605,26.16,
Colusa,4.907,0,18.365,23.025,4.585,
Contra Costa,9.745,13.735,14.188,20.012,22.468,
Del Norte,20.733,3.592,25.095,28.6,35.742,
El Dorado ,13.97,17.308,16.715,17.89,21.645,
Fresno ,12.973,11.363,13.33,16.457,18.565,
Glenn ,6.815,14.26,17.738,38.463,41.735,
Humboldt,31.655,24.2,26.277,31.145,41.62,
Imperial ,12.325,23.1,16.297,32.808,9.197,
Inyo ,14.66,38.917,27.775,44.248,54.93,
Kern ,26.192,24.98,28.87,39.252,52.562,
Kings,10.89,12.553,16.39,13.535,17.812,
Lake ,35.352,68.34,72.85,69.76,98.905,
Lassen,13.913,12.988,38.892,25.953,25.8,
Los Angeles,8.375,9.508,12.363,19.555,22.14,
Madera ,11.92,7.61,18.817,13.873,21.263,
Marin ,13.982,11.553,16.508,20.152,22.94,
Mariposa ,17.242,5.725,28.775,29.053,40.583,
Mendocino ,29.83,35.383,47.72,47.288,82.99,
Merced ,12.912,14.193,16.175,18.465,18.88,
Modoc ,38.267,0,34.793,0,33.652,
Mono ,0,7.018,7.072,0,20.582,
Monterey,9.81,11.25,14.578,21.793,21.915,
Napa ,8.328,12.195,12.143,14.57,15.305,
Nevada ,20.35,15.045,15.992,37.075,40.975,
Orange,10.928,12.617,12.762,20.098,28.735,
Placer ,10.945,11.19,15.83,16.572,18.04,
Plumas ,14.14,10.635,26.688,21.057,36.605,
Riverside ,16.635,17.628,18.567,27.535,32.14,
Sacramento ,12.582,17.455,20.845,18.175,24.175,
San Benito ,13.285,11.375,14.482,15.625,21.445,
San Bernardino ,9.085,13.078,12.125,22.863,24.633,
San Diego ,13.428,14.027,14.357,22.337,27.32,
San Francisco ,18.26,26.605,45.288,61.725,62.742,
San Joaquin ,19.512,15.675,16.367,20.703,25.92,
San Luis Obispo ,14.672,15.492,18.2,28.962,40.555,
San Mateo ,9.688,8.32,12.775,15.748,17.38,
Santa Barbara ,15.707,16.125,18.235,19.86,26.688,
Santa Clara,7.228,8.827,11.04,15.335,16.387,
Santa Cruz ,14.09,14.95,19.54,21.982,29.67,
Shasta ,19.242,17.775,19.938,25.453,39.112,
Sierra ,0,66.955,0,33.07,0,
Siskiyou ,18.973,11.435,11.453,22.98,25.3,
Solano ,12.555,17.465,17.045,17.297,24.665,
Sonoma ,12.777,15.2,19.863,29.025,31.512,
Stanislaus ,12.605,14.008,14.905,22.32,28.188,
Sutter ,9.133,17.562,7.16,16.155,33.663,
Tehama ,9.445,6.26,4.678,9.14,27.188,
Trinity ,4.335,23.933,32.668,16.355,57.237,
Tulare ,8.22,11.16,8.925,15.093,16.63,
Tuolumne ,25.288,11,21.977,16.56,27.705,
Ventura,16.535,15.51,15.905,22.373,30.915,
Yolo ,12.433,10.433,12.575,14.435,12.56,
Yuba,23.543,16.657,15.235,18.758,31.955,