County,District Attorney (2022),Attorney General (2022),AG % Margin of Victory (2022),Democrat (0) or Republican (1)
Alameda,Nancy O'Malley,Rob Bonta,48,0
Alpine,Michael Atwell,Rob Bonta,18,0
Amador,Todd Riebe,Nathan Hochman,23,1
Butte,Michael L. Ramsey,Nathan Hochman,7,1
Calaveras,Barbara Yook,Nathan Hochman,26,1
Colusa,Matthew Beauchamp,Nathan Hochman,32,1
Contra Costa,Diana Becton,Rob Bonta,34,0
Del Norte,Katherine Micks,Nathan Hochman,16,1
El Dorado ,Vernon Pierson,Nathan Hochman,14,1
Fresno ,Lisa Smittcamp,Nathan Hochman,11,1
Glenn ,Dwayne Stewart,Nathan Hochman,42,1
Humboldt,Maggie Fleming,Rob Bonta,16,0
Imperial ,Gilbert G. Otero,Rob Bonta,20,0
Inyo ,Thomas L. Hardy,Nathan Hochman,7,1
Kern ,Cynthia Zimmer,Nathan Hochman,26,1
Kings,Keith Fagundes,Nathan Hochman,26,1
Lake ,Susan Krones,Rob Bonta,7,1
Lassen,Susan Melyssah Rios,Nathan Hochman,54,1
Los Angeles,George Gascón,Rob Bonta,25,0
Madera ,Sally O. Moreno,Nathan Hochman,22,1
Marin ,Lori Frugoli,Rob Bonta,52,0
Mariposa ,Walter Wall,Nathan Hochman,21,1
Mendocino ,C. David Eyster,Rob Bonta,34,0
Merced ,Kimberly Lewis,Nathan Hochman,5,1
Modoc ,Sophia Meyer,Nathan Hochman,52,1
Mono ,Tim Kendall,Rob Bonta,9,0
Monterey,Jeannine M. Pacioni,Rob Bonta,32,1
Napa ,Allison Haley,Rob Bonta,30,0
Nevada ,Clifford Newell,Rob Bonta,9,0
Orange,Todd Spitzer,Nathan Hochman,8,1
Placer ,Morgan Gire,Nathan Hochman,17,1
Plumas ,David Hollister,Nathan Hochman,21,1
Riverside ,Michael Hestrin,Rob Bonta,7,1
Sacramento ,Anne Marie Schubert,Rob Bonta,13,1
San Benito ,Candice Hooper-Mancino,Rob Bonta,8,1
San Bernardino ,Jason Anderson,Nathan Hochman,6,0
San Diego ,Summer Stephan,Rob Bonta,7,0
San Francisco ,Brooke Jenkins,Rob Bonta,63,0
San Joaquin ,Tori Verber Salazar,Rob Bonta,3,0
San Luis Obispo ,Dan Dow,Rob Bonta,8,1
San Mateo ,Stephen M. Wagstaffe,Rob Bonta,43,0
Santa Barbara ,Joyce Dudley,Rob Bonta,19,0
Santa Clara,Jeffrey Rosen,Rob Bonta,36,0
Santa Cruz ,Jeff Rosell,Rob Bonta,47,0
Shasta ,Stephanie A. Bridgett,Nathan Hochman,37,1
Sierra ,Sandra Groven,Nathan Hochman,26,1
Siskiyou ,James Kirk Andrus,Nathan Hochman,21,1
Solano ,Krishna A. Abrams,Rob Bonta,20,0
Sonoma ,Jill Ravitch,Rob Bonta,43,0
Stanislaus ,Birgit Fladager,Nathan Hochman,11,1
Sutter ,Amanda L. Hopper,Nathan Hochman,27,1
Tehama ,Matthew Rogers,Nathan Hochman,39,1
Trinity ,David Brady,Nathan Hochman,9,1
Tulare ,Tim Ward,Nathan Hochman,24,1
Tuolumne ,Laura L. Krieg,Nathan Hochman,19,1
Ventura,Gregory Totten,Rob Bonta,8,0
Yolo ,Jeffrey Reisig,Rob Bonta,33,0
Yuba,Clint Curry,Nathan Hochman,27,1