County,2017,2018,2019,2020,2021,2022,Source,FY or AY,Notes,Average
Los Angeles,"10,092,365","9,974,925","9,994,465","10,014,009","10,033,549","10,053,089",,,,"10,027,067"
San Diego,"3,319,019","3,257,969","3,278,301","3,298,634","3,318,966","3,339,298",,,,"3,302,031"
Orange,"3,174,159","3,151,640","3,169,316","3,186,989","3,204,665","3,222,341",,,,"3,184,852"
Riverside,"2,413,058","2,372,473","2,395,327","2,418,185","2,441,039","2,463,893",,,,"2,417,329"
San Bernardino,"2,149,847","2,152,362","2,167,006","2,181,654","2,196,298","2,210,942",,,,"2,176,352"
Santa Clara,"1,932,251","1,905,338","1,920,800","1,936,259","1,951,721","1,967,183",,,,"1,935,592"
Alameda,"1,659,824","1,647,935","1,665,143","1,682,353","1,699,561","1,716,769",US Census Bureau,,,"1,678,598"
Sacramento,"1,527,984","1,551,804","1,568,431","1,585,055","1,601,682","1,618,309",,,,"1,575,544"
Contra Costa,"1,145,623","1,142,545","1,154,235","1,165,927","1,177,617","1,189,307",,,,"1,162,542"
Fresno,"984,726","993,010","1,000,830","1,008,654","1,016,474","1,024,294",,,,"1,004,665"
Kern,"887,316","895,311","902,271","909,235","916,195","923,155",,,,"905,581"
San Francisco,"877,471","860,219","867,092","873,965","880,838","887,711",,,,"874,549"
Ventura,"848,264","839,734","841,786","843,843","845,895","847,947",,,,"844,578"
San Joaquin,"743,286","760,450","769,843","779,233","788,626","798,019",,,,"773,243"
San Mateo,"768,658","755,243","759,842","764,442","769,041","773,640",,,,"765,144"
Stanislaus,"544,494","545,189","549,031","552,878","556,720","560,562",,,,"551,479"
Sonoma,"502,203","487,862","488,360","488,863","489,361","489,859",,,,"491,085"
Tulare,"462,072","466,931","470,025","473,117","476,211","479,305",,,,"471,277"
Solano,"443,554","445,464","449,479","453,491","457,506","461,521",,,,"451,836"
Santa Barbara,"444,998","443,359","445,792","448,229","450,662","453,095",,,,"447,689"
Monterey,"433,803","434,241","436,639","439,035","441,433","443,831",,,,"438,164"
Placer,"385,348","393,480","399,111","404,739","410,370","416,001",,,,"401,508"
San Luis Obispo,"282,473","279,869","281,148","282,424","283,703","284,982",,,,"282,433"
Merced,"270,837","276,121","278,662","281,202","283,743","286,284",,,,"279,475"
Santa Cruz,"274,865","269,166","270,014","270,861","271,709","272,557",,,,"271,529"
Marin,"259,975","260,337","261,328","262,321","263,312","264,303",,,,"261,929"
Yolo,"218,470","213,289","214,844","216,403","217,958","219,513",,,,"216,746"
Butte,"228,700","213,304","212,467","211,632","210,795","209,958",,,,"214,476"
El Dorado,"188,793","189,162","190,175","191,185","192,198","193,211",,,,"190,787"
Shasta,"179,403","181,167","181,660","182,155","182,648","183,141",,,,"181,696"
Imperial,"181,250","178,664","179,181","179,702","180,219","180,736",,,,"179,959"
Madera,"155,079","155,177","155,716","156,255","156,794","157,333",,,,"156,059"
Kings,"149,542","152,582","152,532","152,486","152,436","152,386",,,,"151,994"
Napa,"139,818","137,716","137,870","138,019","138,173","138,327",,,,"138,321"
Humboldt,"136,710","136,095","136,279","136,463","136,647","136,831",,,,"136,504"
Nevada,"99,421","101,548","101,896","102,241","102,589","102,937",,,,"101,772"
Sutter,"96,161","98,657","99,147","99,633","100,123","100,613",,,,"99,056"
Mendocino,"87,690","90,849","91,225","91,601","91,977","92,353",,,,"90,949"
Yuba,"76,575","79,691","80,633","81,575","82,517","83,459",,,,"80,742"
Lake,"64,132","67,465","67,815","68,163","68,513","68,863",,,,"67,492"
Tehama,"63,827","65,359","65,596","65,829","66,066","66,303",,,,"65,497"
San Benito,"60,190","62,421","63,315","64,209","65,103","65,997",,,,"63,539"
Tuolumne,"53,953","55,573","55,599","55,620","55,646","55,672",,,,"55,344"
Calaveras,"45,658","45,346","45,317","45,292","45,263","45,234",,,,"45,352"
Siskiyou,"43,647","44,244","44,162","44,076","43,994","43,912",,,,"44,006"
Amador,"38,549","39,995","40,233","40,474","40,712","40,950",,,,"40,152"
Lassen,"30,919","33,167","32,951","32,730","32,514","32,298",,,,"32,430"
Glenn,"27,876","28,762","28,842","28,917","28,997","29,077",,,,"28,745"
Del Norte,"27,383","27,914","27,827","27,743","27,656","27,569",,,,"27,682"
Colusa,"21,558","21,755","21,797","21,839","21,881","21,923",,,,"21,792"
Plumas,"18,680","19,831","19,809","19,790","19,768","19,746",,,,"19,604"
Inyo,"17,819","18,922","18,969","19,016","19,063","19,110",,,,"18,817"
Mariposa,"17,461","17,355","17,243","17,131","17,019","16,907",,,,"17,186"
Trinity,"12,727","15,650","15,883","16,112","16,345","16,578",,,,"15,549"
Mono,"14,333","13,394","13,293","13,195","13,094","12,993",,,,"13,384"
Modoc,"8,864","8,894","8,795","8,700","8,601","8,502",,,,"8,726"
Sierra,"3,008","3,240","3,240","3,236","3,236","3,236",,,,"3,199"
Alpine,"1,116","1,199","1,202","1,204","1,207","1,210",,,,"1,190"