County,Total Housing Units (2010),Population in Urban Areas (2010),Population in Rural Areas (2010)
Alameda,582549,580275,2274
Alpine,1760,0,1760
Amador,18032,5292,12740
Butte,95835,76924,18911
Calaveras,27925,4915,23010
Colusa,7883,4941,2942
Contra Costa,400263,397012,3251
Del Norte,11186,6690,4496
El Dorado ,88159,55624,32535
Fresno ,315531,279288,36243
Glenn ,10778,6262,4516
Humboldt,61559,41268,20291
Imperial ,56067,45363,10704
Inyo ,9478,4619,4859
Kern ,284367,248791,35576
Kings,43867,38311,5556
Lake ,35492,23281,12211
Lassen,12710,4447,8263
Los Angeles,3445076,3420978,24098
Madera ,49140,29818,19322
Marin ,111214,101808,9406
Mariposa ,10188,0,10188
Mendocino ,40323,19519,20804
Merced ,83698,70949,12749
Modoc ,5192,1416,3776
Mono ,13912,8420,5492
Monterey,139048,121490,17558
Napa ,54759,45171,9588
Nevada ,52590,28179,24411
Orange,1048907,1047133,1774
Placer ,152648,122635,30013
Plumas ,15566,2579,12987
Riverside ,800707,755458,45249
Sacramento ,555932,544855,11077
San Benito ,17870,12938,4932
San Bernardino ,699637,646367,53270
San Diego ,1164786,1123536,41250
San Francisco ,376942,376941,1
San Joaquin ,233755,213651,20104
San Luis Obispo ,117315,96921,20394
San Mateo ,271031,264988,6043
Santa Barbara ,152834,143442,9392
Santa Clara,631920,624604,7316
Santa Cruz ,104476,90043,14433
Shasta ,77313,53367,23946
Sierra ,2328,7,2321
Siskiyou ,23910,7549,16361
Solano ,152698,146654,6044
Sonoma ,204572,172126,32446
Stanislaus ,179503,164402,15101
Sutter ,33858,28491,5367
Tehama ,26987,12600,14387
Trinity ,8681,0,8681
Tulare ,141696,116509,25187
Tuolumne ,31244,15348,15896
Ventura,281695,271912,9783
Yolo ,75054,69421,5633
Yuba,27635,19160,8475