County,Population,"Population
density",Per capita income,Median household income,Median family income
Lake,"64,209",51.1,"$21,310","$35,997","$47,773"
Trinity,"13,515",4,"$23,145","$36,862","$49,221"
Siskiyou,"44,261",7,"22,482.00","$37,495","$46,079"
Modoc,"9,335",2,"$21,830","$38,560","$46,536"
Del Norte,"28,066",27.9,"$19,424","$39,302","$52,452"
Glenn,"28,019",21,"21,698.00","$40,106","$51,940"
Imperial,"177,026",42,"16,409.00","$41,772","$46,555"
Humboldt,"134,876",38,"23,516.00","$42,153","$53,532"
Tehama,"63,284",22,"$21,002","$42,369","$49,731"
Tulare,"451,108",94,"17,888.00","$42,863","$45,296"
Merced,"261,609",135.2,"$18,464","$43,066","$47,729"
Sierra,"3,019",3,"$28,030","$43,107","$57,708"
Butte,"221,578",135,"$24,430","$43,165","$56,934"
Mendocino,"87,612",25,"23,712.00","$43,290","$53,996"
Shasta,"178,520",47,"$23,763","$44,556","$55,028"
Fresno,"948,844",159,"20,231.00","$45,201","$50,046"
Yuba,"73,059",116,"19,586.00","$45,470","$49,560"
Madera,"152,452",71,"$17,797","$45,490","$49,964"
Inyo,"18,439",1.8,"$27,028","$45,625","$69,041"
Kings,"151,390",109,"18,518.00","$47,341","$50,202"
Plumas,"19,286",8,"29,167.00","$48,032","$60,709"
Tuolumne,"54,347",25,"26,063.00","$48,493","$58,355"
Kern,"857,730",105.5,"$20,467","$48,574","$52,541"
Stanislaus,"522,794",350,"21,729.00","$49,573","$55,357"
Colusa,"21,424",19,"22,211.00","$50,503","$56,472"
Mariposa,"17,946",12.4,"$28,327","$50,560","$63,520"
Sutter,"95,067",158,"23,828.00","$51,527","$58,434"
Amador,"37,159",63,"$27,373","$52,964","$68,765"
San Joaquin,"701,050",504,"22,642.00","$53,253","$59,614"
Lassen,"33,356",7,"19,847.00","$53,351","$66,717"
San Bernardino,"2,078,586",104,"21,384.00","$54,100","$59,626"
Calaveras,"44,921",44,"$29,296","$54,936","$67,100"
Yolo,"204,162",201,"28,080.00","$55,508","$75,225"
Sacramento,"1,450,277","1,503","27,071.00","$55,615","$64,496"
Los Angeles,"9,974,203","2,457.90","$27,987","$55,870","$62,289"
Riverside,"2,266,899",314.6,"$23,660","$56,592","$63,523"
Nevada,"98,606",103,"$32,117","$56,949","$69,649"
Monterey,"424,927",129.5,"$25,048","$58,582","$62,370"
San Luis Obispo,"274,184",83,"$30,392","$59,454","$75,828"
Alpine,"1,202",1.6,"$24,375","$61,343","$71,932"
Mono,"14,193",4.7,"$29,578","$61,814","$73,494"
Santa Barbara,"431,555",158,"30,526.00","$63,409","$73,636"
Sonoma,"491,790",312,"33,361.00","$63,799","$76,614"
San Diego,"3,183,143",756.7,"$31,043","$63,996","$74,569"
Santa Cruz,"267,203",600,"$33,050","$66,923","$81,495"
Solano,"421,624",513,"29,132.00","$67,341","$77,634"
San Benito,"56,888",41,"26,317.00","$67,874","$71,124"
El Dorado,"181,465",106,"$35,128","$68,507","$84,690"
Napa,"139,253",186,"35,092.00","$70,925","$81,275"
Placer,"361,518",257,"35,711.00","$73,747","$88,615"
Alameda,"1,559,308","2,110","36,439.00","$73,775","$90,822"
Orange,"3,086,331","3,903.60","34,416.00","$75,998","$85,472"
Ventura,"835,790",453.5,"$33,308","$77,335","$86,890"
San Francisco,"829,072","17,680","49,986.00","$78,378","$93,391"
Contra Costa,"1,081,232","1,496","$38,770","$79,799","$95,087"
San Mateo,"739,837","1,650","47,198.00","$91,421","$108,088"
Marin,"256,802",493.4,"$58,004","$91,529","$120,030"
Santa Clara,"1,841,569","1,427","$42,666","$93,854","$106,401"