County,2017,2018,2019,2020,2021
Alameda,675,670,633,700,651
Alpine,13,12,13,19,19
Amador,87,83,66,90,88
Butte,161,327,283,341,350
Calaveras,200,187,139,146,164
Colusa,60,24,26,24,23
Contra Costa,318,300,332,298,297
Del Norte,113,102,84,121,132
El Dorado ,206,239,173,219,333
Fresno ,1213,604,599,594,1216
Glenn ,81,55,55,128,71
Humboldt,273,240,310,288,303
Imperial ,137,241,211,200,166
Inyo ,84,80,60,101,82
Kern ,2017,2423,2864,3369,3715
Kings,165,133,125,103,119
Lake ,221,201,193,193,258
Lassen,60,57,78,70,56
Los Angeles,6118,5790,5564,5605,5523
Madera ,451,453,457,231,662
Marin ,91,96,63,90,75
Mariposa ,107,67,79,61,80
Mendocino ,254,213,178,187,174
Merced ,521,608,500,467,640
Modoc ,19,27,31,23,5
Mono ,16,22,25,21,12
Monterey,243,253,258,221,442
Napa ,56,72,69,57,62
Nevada ,174,150,118,116,157
Orange,271,310,247,254,290
Placer ,302,223,183,220,265
Plumas ,146,130,128,159,178
Riverside ,775,829,932,964,971
Sacramento ,2612,2351,2408,2579,2517
San Benito ,51,51,33,33,76
San Bernardino ,862,1054,1503,1859,2149
San Diego ,1486,1523,1499,1435,1414
San Francisco ,6497,6401,6080,4821,4887
San Joaquin ,746,757,903,822,777
San Luis Obispo ,137,115,181,260,213
San Mateo ,311,310,324,319,279
Santa Barbara ,272,229,232,225,225
Santa Clara,383,321,356,323,255
Santa Cruz ,288,297,331,315,268
Shasta ,527,477,386,393,27
Sierra ,5,5,1,4,5
Siskiyou ,54,73,70,98,90
Solano ,105,147,109,115,97
Sonoma ,636,516,497,586,414
Stanislaus ,398,435,370,436,344
Sutter ,87,64,77,69,86
Tehama ,89,62,95,161,148
Trinity ,75,77,61,82,83
Tulare ,254,372,334,344,346
Tuolumne ,173,169,169,205,286
Ventura,176,141,159,98,104
Yolo ,56,81,69,64,58
Yuba,224,225,204,256,217