Revocation,New Offense,New Offense and Technical,Technical Offense Only,Monthly Totals,Fiscal Year*,Month
Revoked,57,26,14,97,318,2021-01-01
Reinstated,,,,37,139,
Continued,,,,4,9,
Remanded,,,,3,19,
Total Hearings,,,,141,485,
,,,,,,
,,,,,,
,,,,,,
Revoked,39,14,14,67,385,2021-02-01
Reinstated,,,,37,176,
Continued,,,,0,9,
Remanded,,,,4,23,
Total Hearings,,,,108,593,
,,,,,,
,,,,,,
,,,,,,
Revoked,56,31,23,110,495,2021-03-01
Reinstated,,,,47,223,
Continued,,,,3,12,
Remanded,,,,7,30,
Total Hearings,,,,167,760,
,,,,,,
,,,,,,
,,,,,,
Revoked,40,17,35,92,587,2021-04-01
Reinstated,,,,28,251,
Continued,,,,1,13,
Remanded,,,,5,35,
Total Hearings,,,,126,886,
,,,,,,
,,,,,,
,,,,,,
Revoked,43,30,23,96,683,2021-05-01
Reinstated,,,,33,284,
Continued,,,,0,13,
Remanded,,,,7,42,
Total Hearings,,,,136,1022,
,,,,,,
,,,,,,
,,,,,,
Revoked,57,29,23,109,792,2021-06-01
Reinstated,,,,35,319,
Continued,,,,0,13,
Remanded,,,,5,47,
Total Hearings,,,,149,1171,
,,,,,,
,,,,,,
,,,,,,
Revoked,35,32,26,93,885,2021-07-01
Reinstated,,,,36,355,
Continued,,,,0,13,
Remanded,,,,9,56,
Total Hearings,,,,138,1309,
,,,,,,
,,,,,,
,,,,,,
Revoked,40,24,28,92,977,2021-08-01
Reinstated,,,,33,388,
Continued,,,,0,13,
Remanded,,,,2,58,
Total Hearings,,,,127,1436,
,,,,,,
,,,,,,
,,,,,,
Revoked,38,22,22,82,1059,2021-09-01
Reinstated,,,,42,430,
Continued,,,,2,15,
Remanded,,,,5,63,
Total Hearings,,,,131,1567,
,,,,,,
,,,,,,
,,,,,,
Revoked,22,10,20,52,52,2021-10-01
Reinstated,,,,29,29,
Continued,,,,4,4,
Remanded,,,,0,0,
Total Hearings,,,,85,85,
,,,,,,
,,,,,,
,,,,,,
Revoked,30,14,20,64,116,2021-11-01
Reinstated,,,,28,57,
Continued,,,,6,10,
Remanded,,,,6,6,
Total Hearings,,,,104,189,
,,,,,,
,,,,,,
,,,,,,
Revoked,20,14,17,51,167,2021-12-01
Reinstated,,,,16,73,
Continued,,,,1,11,
Remanded,,,,3,9,
Total Hearings,,,,71,260,
,,,,,,
,,,,,,
,,,,,,
Revoked,38,21,34,93,260,2022-01-01
Reinstated,,,,32,105,
Continued,,,,2,13,
Remanded,,,,13,22,
Total Hearings,,,,140,400,
,,,,,,
,,,,,,
,,,,,,
Revoked,39,14,14,67,385,2022-02-01
Reinstated,,,,37,176,
Continued,,,,0,9,
Remanded,,,,4,23,
Total Hearings,,,,108,593,
,,,,,,
,,,,,,
,,,,,,
Revoked,42,29,31,102,455,2022-03-01
Reinstated,,,,39,175,
Continued,,,,0,13,
Remanded,,,,3,29,
Total Hearings,,,,144,672,
,,,,,,
,,,,,,
,,,,,,
Revoked,36,27,21,84,539,2022-04-01
Reinstated,,,,46,221,
Continued,,,,0,13,
Remanded,,,,5,34,
Total Hearings,,,,135,807,
,,,,,,
,,,,,,
,,,,,,
Revoked,29,12,13,54,593,2022-05-01
Reinstated,,,,31,252,
Continued,,,,0,13,
Remanded,,,,2,36,
Total Hearings,,,,87,894,
,,,,,,
,,,,,,
,,,,,,
Revoked,36,27,27,90,683,2022-06-01
Reinstated,,,,39,291,
Continued,,,,0,13,
Remanded,,,,5,41,
Total Hearings,,,,134,1028,
,,,,,,
,,,,,,
,,,,,,
Revoked,32,9,22,63,746,2022-07-01
Reinstated,,,,22,313,
Continued,,,,1,14,
Remanded,,,,0,41,
Total Hearings,,,,86,1114,
,,,,,,
,,,,,,
,,,,,,
Revoked,42,22,32,96,842,2022-08-01
Reinstated,,,,36,349,
Continued,,,,1,15,
Remanded,,,,7,48,
Total Hearings,,,,140,1254,
,,,,,,
,,,,,,
,,,,,,
Revoked,35,22,20,77,919,2022-09-01
Reinstated,,,,28,377,
Continued,,,,0,15,
Remanded,,,,4,52,
Total Hearings,,,,109,1363,
,,,,,,
,,,,,,
,,,,,,
Revoked,26,16,18,60,60,2022-10-01
Reinstated,,,,35,35,
Continued,,,,2,2,
Remanded,,,,2,2,
Total Hearings,,,,99,99,
,,,,,,
,,,,,,
,,,,,,
Revoked,18,5,18,41,101,2022-11-01
Reinstated,,,,17,52,
Continued,,,,0,2,
Remanded,,,,3,5,
Total Hearings,,,,61,160,
,,,,,,
,,,,,,
,,,,,,
Revoked,29,9,17,55,156,2022-12-01
Reinstated,,,,26,78,
Continued,,,,0,2,
Remanded,,,,4,9,
Total Hearings,,,,85,245,