Month,ADOC JURISDICTIONAL POPULATION,ADOC CUSTODY POPULATION,ADOC IN-HOUSE POPULATION
Jan 2017,"28,865","23,164","22,764"
Feb 2017,"28,912","23,087","22,688"
Mar 2017,"28,646","22,824","22,425"
Apr 2017,"28,323","22,624","22,233"
May 2017,"28,256","22,313","21,953"
Jun 2017,"28,296","22,201","21,888"
Jul 2017,"27,926","21,868","21,556"
Aug 2017,"27,890","21,616","21,306"
Sep 2017,"27,803","21,563","21,213"
Oct 2017,"27,886","21,509","20,966"
Nov 2017,"27,847","21,511","20,924"
Dec 2017,"27,677","21,524","21,007"
Jan 2018,"27,334","21,357","20,845"
Feb 2018,"27,072","21,127","20,562"
Mar 2018,"26,885","21,056","20,531"
Apr 2018,"26,919","20,828","20,318"
May 2018,"27,098","20,762","20,217"
Jun 2018,"27,157","20,707","20,143"
Jul 2018,"26,985","20,670","20,102"
Aug 2018,"26,850","20,615","20,063"
Sep 2018,"26,790","20,585","20,087"
Oct 2018,"26,858","20,691","20,195"
Nov 2018,"26,950","20,786","20,251"
Dec 2018,"27,191","20,855","20,276"
Jan 2019,"27,243","20,830","20,240"
Feb 2019,"27,571","20,972","20,325"
Mar 2019,"27,554","21,013","20,369"
Apr 2019,"27,660","21,119","20,468"
May 2019,"27,939","21,257","20,612"
Jun 2019,"27,922","21,346","20,711"
Jul 2019,"27,631","21,416","20,763"
Aug 2019,"27,765","21,617","20,935"
Sep 2019,"27,815","21,680","20,953"
Oct 2019,"27,993","21,772","21,081"
Nov 2019,"28,125","21,757","21,077"
Dec 2019,"28,266","21,766","21,079"
Jan 2020,"28,466","21,900","21,154"
Feb 2020,"28,629","22,004","21,272"
Mar 2020,"28,317","21,685","20,948"
Apr 2020,"27,677","21,196","20,506"
May 2020,"27,360","20,841","20,170"
Jun 2020,"26,890","20,261","19,562"
Jul 2020,"26,528","19,804","19,144"
Aug 2020,"26,273","19,328","18,698"
Sep 2020,"26,014","19,014","18,409"
Oct 2020,"25,920","18,573","18,004"
Nov 2020,"25,665","18,285","17,652"
Dec 2020,"25,344","18,095","17,474"
Jan 2021,"25,190","17,761","17,213"
Feb 2021,"25,088","17,553","17,049"
Mar 2021,"25,105","17,379","16,907"
Apr 2021,"25,255","17,328","16,810"
May 2021,"25,249","17,320","16,792"
Jun 2021,"25,377","17,750","17,189"
Jul 2021,"25,278","18,303","17,724"
Aug 2021,"25,385","18,299","17,765"
Sep 2021,"25,186","18,279","17,769"
Oct 2021,"25,472","18,377","17,864"
Nov 2021,"25,263","18,321","17,823"
Dec 2021,"25,195","19,322","18,773"
Jan 2022,"25,173","19,801","19,402"
Feb 2022,"25,289","20,067","19,557"
Mar 2022,"25,439","20,279","19,710"
Apr 2022,"25,694","20,421","19,839"
May 2022,"25,915","20,476","19,875"
Jun 2022,"26,093","20,589","19,992"
Jul 2022,"26,003","20,605","20,040"
Aug 2022,"26,214","20,512","19,956"
Sep 2022,"26,290","20,575","19,978"
Oct 2022,"26,443","20,628","19,996"
Nov 2022,"26,497","20,569","19,887"