,Black,Black,Black,Black,White,White,White,White
,Violent,Drug,Property,Other,Violent,Drug,Property,Other
16,3,0,0,0,0,0,0,0
17,10,0,1,0,0,0,0,1
18,45,0,4,1,5,0,3,0
19,68,3,23,11,13,5,6,8
20,130,11,47,27,16,10,16,17
21-24,874,94,185,195,159,70,91,86
25-29,1758,270,245,446,351,161,255,243
30-34,1688,430,203,429,491,255,274,312
35-39,1454,436,169,321,537,265,290,344
40-44,1546,401,143,249,542,201,201,307
45-49,1154,206,120,163,442,151,124,211
50-54,1014,121,126,111,429,78,96,210
55-59,883,70,138,92,429,45,39,156
60-69,968,69,73,93,529,26,34,181
70+,206,6,1,9,180,1,4,66