CHAPTER,CHAPDEC,SECTION,SCPUNCT,SUBSECT,PARAGRF,STATUTE,EFFDATE,DateAdd,SGOFF,SENTENCE,MAN_MIN,MAN_UNIT,RETIREDATE,MM,MM_clean,VCC,IBRCODE,FelonyTimeServed,HEADING,SUBHEAD,DESCRTN
3,2,4212,,,"D,i","3.2-4212(D,i)",7/1/09,7/1/09,N,0-12M,90,D,,90 D,3,AGR-4632-M1,,0,"AGRICULTURE, HORTICULTURE & FOOD",Tobacco Product Manufacturers,"Sell or distribute cigarettes not in directory, ≥ 3000 pkgs."
3,2,4212,,,"D,ii","3.2-4212(D,ii)",7/1/09,7/1/09,N,0-12M,90,D,,90 D,3,AGR-4634-M1,,0,"AGRICULTURE, HORTICULTURE & FOOD",Tobacco Product Manufacturers,"Possess, import, etc., cigarettes not in directory, ≥ 3000 pkgs."
4,1,302,.,,,4.1-302,,4/28/94,N,0-12M,30,D,,30 D,1,ALC-4163-M1,,0,ALCOHOL,Sell,"Sale, illegal alcohol - subsequent"
16,1,253,.,2,A,16.1-253.2(A),7/1/16,7/1/16,N,0-12M,60,D,,60 D,2,PRT-5001-M1,,0,PROTECTIVE ORDERS,Juvenile & Domestic Court,Violation of protective order (violence) 2nd w/in 5 yrs.
16,1,253,.,2,A,16.1-253.2(A),7/1/16,7/1/16,N,1Y-5Y (II),6,M,,6 M,6,PRT-5002-F6,,1,PROTECTIVE ORDERS,Juvenile & Domestic Court,Violation of protective order (violence) 3rd w/in 20 yrs.
18,2,31,,,6,18.2-31(6),7/1/21,7/1/21,N,Life-Life (I),,Life,,Life,600,MUR-0923-F1,,1,MURDER,Aggravated,Law enforcement officer
18,2,36,.,1,B,18.2-36.1(B),,,Y,1Y-20Y (II),1,Y,,1 Y,12,MUR-0948-F9,,3,MURDER,Manslaughter,"Involuntary manslaughter, under the influence - vehicular, aggravated"
18,2,36,.,2,B,18.2-36.2(B),7/1/05,7/2/05,N,1Y-20Y (II),1,Y,,1 Y,12,MUR-0949-F9,,3,MURDER,Manslaughter,"Involuntary manslaughter, under the influence - watercraft, aggravated"
18,2,46,.,2,,18.2-46.2,7/1/05,7/1/05,N,1Y-10Y,2,Y,,2 Y,24,MOB-1280-F5,,3,GANGS,"Participation - School Zone, Community Center, Etc.","Participation in crime for benefit/direction of gang - school, etc."
18,2,46,.,2,,18.2-46.2,7/1/05,7/1/05,N,2Y-10Y,2,Y,,2 Y,24,MOB-1281-F4,,3,GANGS,"Participation - School Zone, Community Center, Etc.","Participation in crime for gang that includes juvenile - school, etc."
18,2,51,.,1,,18.2-51.1,7/1/97,7/1/97,Y,5Y-30Y (II),2,Y,,2 Y,24,ASL-1326-F9,,1,ASSAULT,"Law Enforcement, Court, Fire, Medical Services, Etc.","Malicious bodily injury to law enforcement, fire or EMS"
18,2,51,.,1,,18.2-51.1,,,Y,1Y-5Y (II),1,Y,,1 Y,12,ASL-1330-F6,,2,ASSAULT,"Law Enforcement, Court, Fire, Medical Services, Etc.","Non-malicious injury to law enforcement, fire/EMS personnel, etc."
18,2,53,.,1,,18.2-53.1,,,Y,3Y-3Y (II),3,Y,,3 Y,36,ASL-1319-F9,,3,ASSAULT,Firearm,Firearm use in commission of felony - first offense
18,2,53,.,1,,18.2-53.1,,,Y,5Y-5Y (II),5,Y,,5 Y,60,ASL-1323-F9,,3,ASSAULT,Firearm,Firearm use in commission of felony - subsequent offense
18,2,57,,,C,18.2-57(C),7/1/97,7/1/97,Y,1Y-5Y,6,M,,6 M,6,ASL-1342-F6,,3,ASSAULT,"Law Enforcement, Court, Fire, Medical Services, Etc.","Simple assault on law enforcement, court, DOC, fire/medical, etc."
18,2,57,,,D,18.2-57(D),7/1/99,7/1/99,N,0-12M,2,D,,2 D,x,ASL-1312-M1,,0,ASSAULT,"Simple Assault - Teacher, School Employee","Simple assault, on teacher, principal, school employee, etc."
18,2,57,,,D,18.2-57(D),7/1/94,12/21/15,N,0-12M,6,M,,6 M,6,ASL-1311-M1,,0,ASSAULT,"Simple Assault - Teacher, School Employee","Simple assault, on teacher, principal, school employee, etc. w/weapon"
18,2,57,,,E,18.2-57(E),7/1/11,7/1/11,N,0-12M,2,D,,2 D,x,ASL-1352-M1,,0,ASSAULT,Simple Assault - Health Care Provider,Battery against health care provider in an emergency facility
18,2,60,.,4,A,18.2-60.4(A),7/1/16,7/1/16,N,0-12M,60,D,,60 D,2,PRT-5066-M1,,0,PROTECTIVE ORDERS,Other,Violation of protective order (violence) 2nd w/in 5 yrs.
18,2,60,.,4,A,18.2-60.4(A),7/1/16,7/1/16,N,1Y-5Y (II),6,M,,6 M,6,PRT-5067-F6,,1,PROTECTIVE ORDERS,Other,Violation of protective order (violence) 3rd w/in 20 yrs.
18,2,61,,,Aiii,"18.2-61(A,iii)",7/1/12,7/1/12,Y,Life-Life (I),,Life,,Life,600,RAP-1131-F9,,1,SEXUAL ASSAULT,"Rape, Forcible",Intercourse with victim under age 13 (indicted as an adult)
18,2,61,,,Aiii,"18.2-61(A,iii)",7/1/06,7/1/06,N,25Y-Life (I),25,Y,,25 Y,300,RAP-1150-F9,,1,SEXUAL ASSAULT,"Rape, Forcible","Intercourse with victim under age 13, w/kidnapping, burglary, wounding"
18,2,67,.,5:02,,18.2-67.5:2,7/1/95,7/1/96,N,Max. (II),20-May,Y,,5-20 Y,60,,,1,SEXUAL ASSAULT,Subsequent Violent Felony,"Use VCC for offense & change position 8 of VCC to ""X"""
18,2,67,.,5:03,,18.2-67.5:3,7/1/95,7/1/96,N,Max. (I/II),10Y-,Life,,10Y- Life,120,,,1,SEXUAL ASSAULT,Subsequent Violent Felony,"Use VCC for offense & change position 8 of VCC to ""X"""
18,2,67,.,1,"A,1","18.2-67.1(A,1)",7/1/12,7/1/12,Y,Life-Life (I),,Life,,Life,600,RAP-1153-F9,,1,SEXUAL ASSAULT,"Sodomy, Forcible",Victim under age 13 (indicted as an adult)
18,2,67,.,1,"A,1","18.2-67.1(A,1)",7/1/06,7/1/06,N,25Y-Life (I),25,Y,,25 Y,300,RAP-1151-F9,,1,SEXUAL ASSAULT,"Sodomy, Forcible","Victim under age 13, w/kidnapping, burglary, wounding"
18,2,67,.,2,"A,1","18.2-67.2(A,1)",7/1/12,7/1/12,Y,Life-Life (I),,Life,,Life,600,RAP-1154-F9,,1,SEXUAL ASSAULT,Object Sexual Penetration,Victim under age 13 (indicted as an adult)
18,2,67,.,2,A1,"18.2-67.2(A,1)",7/1/06,7/1/06,N,25Y-Life (I),25,Y,,25 Y,300,RAP-1152-F9,,1,SEXUAL ASSAULT,Object Sexual Penetration,"Victim under age 13, w/kidnapping, burglary, wounding"
18,2,154,.,,,18.2-154,,5/16/94,N,2Y-10Y (II),1,Y,,1 Y,12,VAN-2905-F4,,3,"VANDALISM, DAMAGE PROPERTY",Vehicle - Law Enforcement/Emergency,Shoot or throw missile at law enforc./emerg. veh. w/malice
18,2,154,.,,,18.2-154,,5/16/94,N,1Y-5Y,1,Y,,1 Y,12,VAN-2906-F6,,3,"VANDALISM, DAMAGE PROPERTY",Vehicle - Law Enforcement/Emergency,Shoot or throw missile at law enforc./emerg. veh. w/o malice
18,2,186,.,4,,18.2-186.4,7/1/07,7/1/07,N,1Y-5Y,6,M,,6 M,6,FRD-2540-F6,,3,FRAUD,Identity Fraud,"Publish name of law-enforcement intent to harass, etc."
18,2,248,,1,d,18.2-248.1(d),7/1/06,7/1/06,Y,5Y-Life,5,Y,,5 Y,60,NAR-3085-F9,,3,NARCOTICS,Marijuana,"Sell, distribute, etc., marijuana 3rd or subsequent felony"
18,2,248,.,1,,18.2-248.01,,,Y,5Y-40Y,3,Y,,3 Y,36,NAR-3067-F9,,3,NARCOTICS,Marijuana - Transport,Transport into Commonwealth - 5 lbs. or more marij.
18,2,248,,1,,18.2-248.01,7/1/00,7/1/00,N,5Y-40Y,10,Y,,10 Y,120,NAR-3086-F9,,3,NARCOTICS,Marijuana - Transport,Transport into Commonwealth - 5 lbs. or more marij. - 2nd or subsq.
18,2,248,.,1,,18.2-248.01,,,N,5Y-40Y,3,Y,,3 Y,36,NAR-3065-F9,,3,NARCOTICS,Schedule I or II Drugs - Transport,Transport into Commonwealth - 1 oz. or more of Cocaine
18,2,248,.,1,,18.2-248.01,,7/1/00,N,5Y-40Y,10,Y,,10 Y,120,NAR-3088-F9,,3,NARCOTICS,Schedule I or II Drugs - Transport,"Transport into Commonwealth - 1 oz. or more of Cocaine, 2nd/subsq."
18,2,248,.,1,,18.2-248.01,,,N,5Y-40Y,3,Y,,3 Y,36,NAR-3066-F9,,3,NARCOTICS,Schedule I or II Drugs - Transport,Transport into Commonwealth - 1 oz. or more other Sch. I/II
18,2,248,.,1,,18.2-248.01,7/1/00,7/1/00,N,5Y-40Y,10,Y,,10 Y,120,NAR-3089-F9,,3,NARCOTICS,Schedule I or II Drugs - Transport,"Transport into Commonwealth - 1 oz. or more other Sch.I/II, 2nd/subsq."
18,2,248,.,3,,18.2-248.03,7/1/08,7/1/08,N,5Y-40Y,3,Y,,3 Y,36,NAR-3149-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Methamphetamine, distribute, etc., 28g or more"
18,2,248,.,3,,18.2-248.03,7/1/08,7/1/08,N,5Y-Life,5,Y,,5 Y,60,NAR-3151-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Methamphetamine, distribute, etc., 227g or more"
18,2,248,.,5,A,18.2-248.5(A),,,N,1Y-10Y,6,M,,6 M,6,NAR-3041-F9,,3,NARCOTICS,Steroids,"Anabolic steroids - sell, distribute, etc."
18,2,248,,,C,18.2-248(C),7/1/12,7/1/12,Y,5Y-Life,3,Y,,3 Y,36,NAR-3038-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, 2nd","Sell, poss. w/intent, distribute, etc. - second conviction"
18,2,248,,,C,18.2-248(C),7/1/12,7/1/12,Y,10Y-Life,10,Y,,10 Y,120,NAR-3087-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, 3rd & Subsequent","Sell, poss. w/intent, distribute, etc. - third or subsequent"
18,2,248,,,"C,1","18.2-248(C,1)",7/1/06,7/1/06,N,5Y-Life,5,Y*,,5 Y*,60,NAR-3144-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Heroin, distribute, etc., 100g or more"
18,2,248,,,"C,2","18.2-248(C,2)",7/1/06,7/1/06,N,5Y-Life,5,Y*,,5 Y*,60,NAR-3145-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Cocaine mixture, etc., distribute, etc., 500 g or more"
18,2,248,,,"C,3","18.2-248(C,3)",7/1/06,7/1/06,N,5Y-Life,5,Y*,,5 Y*,60,NAR-3146-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Cocaine base, distribute, etc., 250g or more"
18,2,248,,,"C,4","18.2-248(C,4)",7/1/06,7/1/06,N,5Y-Life,5,Y*,,5 Y*,60,NAR-3147-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Methamphetamine, distribute, etc., 10g or more (20g mixture)"
18,2,248,,,C1,18.2-248(C1),7/1/05,7/1/05,N,10Y-Life,3,Y,,3 Y,36,NAR-3133-F9,,3,NARCOTICS,Schedule I or II Drugs - Manufacture Methamphetamine,Manufacture methamphetamine - 3rd or subsequent conviction
18,2,248,,,H,18.2-248(H),7/1/00,7/1/00,N,20Y-Life,20,Y,,20 Y,240,NAR-3094-F9,,0,NARCOTICS,Type Not Clear,Type Not Clear - Distribute Schd. I/II - quantity defined
18,2,248,,,"H,1","18.2-248(H,1)",7/1/00,3/22/05,N,20Y-Life,20,Y*,,20 Y*,240,NAR-3111-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Heroin mixture, distribute, etc., 1.0 kilograms or more"
18,2,248,,,"H,2","18.2-248(H,2)",7/1/00,3/22/05,N,20Y-Life,20,Y*,,20 Y*,240,NAR-3112-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Cocaine mixture, etc., distribute, etc., 5.0 kilograms or more"
18,2,248,,,"H,3","18.2-248(H,3)",7/1/00,3/22/05,N,20Y-Life,20,Y*,,20 Y*,240,NAR-3113-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Cocaine base, distribute, etc., 2.5 kilograms or more"
18,2,248,,,"H,4","18.2-248(H,4)",7/1/00,3/22/05,N,20Y-Life,20,Y*,,20 Y*,240,NAR-3114-F9,,3,NARCOTICS,Marijuana - Distribution Based on Quantity,"Marijuana mixture, etc., distribute, etc., 100 kilograms or more"
18,2,248,,,"H,5","18.2-248(H,5)",7/1/00,3/22/05,N,20Y-Life,20,Y*,,20 Y*,240,NAR-3115-F9,,3,NARCOTICS,"Schedule I or II Drugs - Distribution, Quantity","Methamphetamine, distribute, etc., 100g or more (200g mixture)"
18,2,248,,,H1i,"18.2-248(H1,i)",7/1/00,7/1/00,N,20Y-Life,20,Y,,20 Y,240,NAR-3090-F9,,3,NARCOTICS,Money - Continuing Criminal Enterprise,"Gross $100,000 to < $250,000 within 12 month period"
18,2,248,,,H1ii,"18.2-248(H1,ii)",7/1/00,7/1/00,N,20Y-Life,20,Y,,20 Y,240,NAR-3091-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,Type Not Clear - Distribute Schd. I/II or marijuana - quantity defined
18,2,248,,,H1ii1,"18.2-248(H1,ii,1)",7/1/00,3/22/05,N,20Y-Life,20,Y,,20 Y,240,NAR-3116-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,"Heroin mixture, distribute etc. 1.0 kilograms less than 5.0 kilograms"
18,2,248,,,H1ii2,"18.2-248(H1,ii,2)",7/1/00,3/22/05,N,20Y-Life,20,Y,,20 Y,240,NAR-3117-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,Cocaine mixture distribute etc. 5.0 kilograms less than 10.0 kilograms
18,2,248,,,H1ii3,"18.2-248(H1,ii,3)",7/1/00,3/22/05,N,20Y-Life,20,Y,,20 Y,240,NAR-3118-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,"Cocaine base, distribute etc. 2.5 kilograms less than 5.0 kilograms"
18,2,248,,,H1ii4,"18.2-248(H1,ii,4)",7/1/00,3/22/05,N,20Y-Life,20,Y,,20 Y,240,NAR-3119-F9,,3,NARCOTICS,Marijuana - Continuing Criminal Enterprise,"Distribute etc.,100 kilograms, less than 250.0 kilograms marijuana mix"
18,2,248,,,H1ii5,"18.2-248(H1,ii,5)",7/1/00,3/22/05,N,20Y-Life,20,Y,,20 Y,240,NAR-3120-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,"Methamphetamine, distribute etc. 100g < 250g / 200g < 1 kg mixture"
18,2,248,,,H2I,"18.2-248(H2,i)",7/1/00,7/1/00,N,"40, Life","40,",Life,,"40, Life",480,NAR-3092-F9,,3,NARCOTICS,Money - Continuing Criminal Enterprise,"Gross $250,000 or more within 12 month period"
18,2,248,,,H2ii,"18.2-248(H2,ii)",7/1/00,7/1/00,N,"40, Life","40,",Life,,"40, Life",480,NAR-3093-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,Type Not Clear - Distribute Schd. I/II or marijuana - quantity defined
18,2,248,,,H2ii1,"18.2-248(H2,ii,1)",7/1/00,3/22/05,N,"40, Life","40,",Life,,"40, Life",480,NAR-3121-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,"Heroin mixture, distribute etc. 5.0 kilograms or more"
18,2,248,,,H2ii2,"18.2-248(H2,ii,2)",7/1/00,3/22/05,N,"40, Life","40,",Life,,"40, Life",480,NAR-3122-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,"Cocaine mixture, distribute etc. 10.0 kilograms or more"
18,2,248,,,H2ii3,"18.2-248(H2,ii,3)",7/1/00,3/22/05,N,"40, Life","40,",Life,,"40, Life",480,NAR-3123-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,"Cocaine base, distribute etc. 5.0 kilograms or more"
18,2,248,,,H2ii4,"18.2-248(H2,ii,4)",7/1/00,3/22/05,N,"40, Life","40,",Life,,"40, Life",480,NAR-3124-F9,,3,NARCOTICS,Marijuana - Continuing Criminal Enterprise,"Distribute etc., 250.0 kilograms or more marijuana mixture"
18,2,248,,,H2ii5,"18.2-248(H2,ii,5)",7/1/00,3/22/05,N,"40, Life","40,",Life,,"40, Life",480,NAR-3125-F9,,3,NARCOTICS,Schedule I or II Drugs - Continuing Criminal Enterprise,"Methamphetamine, distribute etc. 250g or more / 1kg or more mixture"
18,2,255,,2,,18.2-255.2,7/1/00,7/1/00,N,1Y-5Y,1,Y,,1 Y,12,NAR-3099-F6,,3,NARCOTICS,"School Property, Etc., Possession/Distribution On","Distribute, etc., controlled substance on school property - 2nd/Subsq."
18,2,255,.,,"A,i","18.2-255(A,i)",,5/16/94,Y,10Y-50Y,2,Y,,2 Y,24,NAR-3063-F9,,3,NARCOTICS,Minors - Marijuana,Sell 
18,2,255,.,,"A,i","18.2-255(A,i)",,7/1/02,Y,10Y-50Y,5,Y,,5 Y,60,NAR-3098-F9,,3,NARCOTICS,Minors - Marijuana,Sell 1 oz. or more of marijuana to minor
18,2,255,.,,"A,i","18.2-255(A,i)",,7/1/02,Y,10Y-50Y,5,Y,,5 Y,60,NAR-3097-F9,,3,NARCOTICS,Minors - Schedule I/II,Sell Sch. I/II drug to minor
18,2,255,.,,"A,ii","18.2-255(A,ii)",,7/1/05,N,10Y-50Y,2,Y,,2 Y,24,NAR-3126-F9,,3,NARCOTICS,Minors - Assist In Distribution,Sell 
18,2,255,.,,"A,ii","18.2-255(A,ii)",,7/1/05,N,10Y-50Y,5,Y,,5 Y,60,NAR-3127-F9,,3,NARCOTICS,Minors - Assist In Distribution,"Sell 1 oz. or more of marijuana, minor assists in distribution"
18,2,255,.,,"A,ii","18.2-255(A,ii)",,7/1/05,N,10Y-50Y,5,Y,,5 Y,60,NAR-3128-F9,,3,NARCOTICS,Minors - Assist In Distribution,"Sell Sch. I/II drug, minor assists in distribution"
18,2,266,,,,18.2-266,7/1/04,7/1/04,N,0-12M,5,D,,5 D,x,DWI-5443-M1,,0,TRAFFIC - DRIVING WHILE INTOXICATED,"Motor Vehicle, Etc. - 1st Conviction","First conviction, blood alcohol level .15 to .20"
18,2,266,,,,18.2-266,7/1/04,7/1/04,N,0-12M,10,D,,10 D,x,DWI-5444-M1,,0,TRAFFIC - DRIVING WHILE INTOXICATED,"Motor Vehicle, Etc. - 1st Conviction","First conviction, blood alcohol level > .20"
18,2,266,,,,18.2-266,7/1/04,7/1/04,N,0-12M,5,D,,5 D,x,DWI-5451-M1,,0,TRAFFIC - DRIVING WHILE INTOXICATED,"Motor Vehicle, Etc. - 1st Conviction with Child",First conviction w/child
18,2,266,,,,18.2-266,7/1/04,7/1/04,N,0-12M,10,D,,10 D,x,DWI-5452-M1,,0,TRAFFIC - DRIVING WHILE INTOXICATED,"Motor Vehicle, Etc. - 1st Conviction with Child","First conviction, blood alcohol level .15 to .20 w/child"
18,2,266,,,,18.2-266,7/1/04,7/1/04,N,0-12M,15,D,,15 D,x,DWI-5453-M1,,0,TRAFFIC - DRIVING WHILE INTOXICATED,"Motor Vehicle, Etc. - 1st Conviction with Child","First conviction, blood alcohol level > .20 w/child"
18,2,266,,,,18.2-266,7/1/05,7/2/05,N,0-12M,5,D,,5 D,x,DWI-5463-M1,,0,TRAFFIC - DRIVING WHILE INTOXICATED,"Motor Vehicle, Etc. - 1st Conviction with Child","First conviction, influence of drugs w/child"
18,2,266,,,,18.2-266,7/1/05,7/1/21,N,0-12M,5,D,,5 D,x,DWI-5621-M1,,0,TRAFFIC - DRIVING WHILE INTOXICATED,"Motor Vehicle, Etc. - 1st Conviction with Child (Marijuana)","First conviction, influence of marijuana w/child"
18,2,266,,,,18.2-266,7/1/04,,N,1M-1Y,20,D,,20 D,x,DWI-5448-S9,,0,TRAFFIC - DRIVING WHILE INTOXICATED,"Motor Vehicle, Etc. - 2nd Conviction",Second conviction within less than 5 years
